user_id,total_fees,num_transactions,months_active,avg_transaction_value,transaction_frequency,uLTV
17144,75.0,15,4,5.0,3.75,75.0
62880,55.0,11,1,5.0,11.0,55.0
12934,55.0,11,3,5.0,3.6666666666666665,55.0
18984,40.0,8,4,5.0,2.0,40.0
10562,40.0,8,2,5.0,4.0,40.0
17603,35.0,7,4,5.0,1.75,35.0
15493,35.0,7,4,5.0,1.75,35.0
23164,35.0,7,2,5.0,3.5,35.0
14179,35.0,7,5,5.0,1.4,35.0
21532,35.0,7,1,5.0,7.0,35.0
8944,35.0,7,5,5.0,1.4,35.0
6219,35.0,7,4,5.0,1.75,35.0
9199,35.0,7,1,5.0,7.0,35.0
5267,35.0,7,5,5.0,1.4,35.0
5189,35.0,7,3,5.0,2.3333333333333335,35.0
4982,35.0,7,5,5.0,1.4,35.0
1987,35.0,7,5,5.0,1.4,35.0
4636,35.0,7,4,5.0,1.75,35.0
13404,35.0,7,5,5.0,1.4,35.0
4317,35.0,7,5,5.0,1.4,35.0
6341,30.0,6,3,5.0,2.0,30.0
24590,30.0,6,2,5.0,3.0,30.0
6536,30.0,6,3,5.0,2.0,30.0
17521,30.0,6,4,5.0,1.5,30.0
13454,30.0,6,4,5.0,1.5,30.0
13539,30.0,6,1,5.0,6.0,30.0
4778,30.0,6,4,5.0,1.5,30.0
6916,30.0,6,4,5.0,1.5,30.0
13565,30.0,6,4,5.0,1.5,30.0
11557,30.0,6,5,5.0,1.2,30.0
7445,30.0,6,4,5.0,1.5,30.0
3007,30.0,6,5,5.0,1.2,30.0
15785,30.0,6,4,5.0,1.5,30.0
18393,30.0,6,2,5.0,3.0,30.0
6784,30.0,6,3,5.0,2.0,30.0
2602,30.0,6,4,5.0,1.5,30.0
35057,30.0,6,3,5.0,2.0,30.0
34991,30.0,6,3,5.0,2.0,30.0
13324,30.0,6,3,5.0,2.0,30.0
5994,30.0,6,3,5.0,2.0,30.0
13964,30.0,6,3,5.0,2.0,30.0
13027,30.0,6,2,5.0,3.0,30.0
34908,30.0,6,3,5.0,2.0,30.0
8649,30.0,6,2,5.0,3.0,30.0
12461,30.0,6,4,5.0,1.5,30.0
12852,30.0,6,4,5.0,1.5,30.0
12491,30.0,6,4,5.0,1.5,30.0
12815,30.0,6,3,5.0,2.0,30.0
4580,30.0,6,5,5.0,1.2,30.0
2197,30.0,6,1,5.0,6.0,30.0
4810,30.0,6,2,5.0,3.0,30.0
47557,30.0,6,1,5.0,6.0,30.0
47,30.0,6,6,5.0,1.0,30.0
526,30.0,6,3,5.0,2.0,30.0
8706,30.0,6,1,5.0,6.0,30.0
19758,30.0,6,4,5.0,1.5,30.0
10142,30.0,6,5,5.0,1.2,30.0
14725,30.0,6,5,5.0,1.2,30.0
213,30.0,6,1,5.0,6.0,30.0
20459,30.0,6,4,5.0,1.5,30.0
9475,30.0,6,5,5.0,1.2,30.0
20821,30.0,6,4,5.0,1.5,30.0
19363,30.0,6,4,5.0,1.5,30.0
19312,30.0,6,3,5.0,2.0,30.0
9245,30.0,6,2,5.0,3.0,30.0
14875,30.0,6,4,5.0,1.5,30.0
21682,30.0,6,4,5.0,1.5,30.0
15655,30.0,6,2,5.0,3.0,30.0
7731,25.0,5,4,5.0,1.25,25.0
11297,25.0,5,3,5.0,1.6666666666666667,25.0
9666,25.0,5,4,5.0,1.25,25.0
16528,25.0,5,3,5.0,1.6666666666666667,25.0
4763,25.0,5,1,5.0,5.0,25.0
10336,25.0,5,2,5.0,2.5,25.0
10339,25.0,5,5,5.0,1.0,25.0
20626,25.0,5,3,5.0,1.6666666666666667,25.0
26133,25.0,5,3,5.0,1.6666666666666667,25.0
20665,25.0,5,2,5.0,2.5,25.0
26042,25.0,5,3,5.0,1.6666666666666667,25.0
4865,25.0,5,2,5.0,2.5,25.0
4904,25.0,5,4,5.0,1.25,25.0
18669,25.0,5,4,5.0,1.25,25.0
34611,25.0,5,2,5.0,2.5,25.0
5061,25.0,5,3,5.0,1.6666666666666667,25.0
20778,25.0,5,4,5.0,1.25,25.0
12523,25.0,5,2,5.0,2.5,25.0
18579,25.0,5,3,5.0,1.6666666666666667,25.0
5226,25.0,5,3,5.0,1.6666666666666667,25.0
34670,25.0,5,2,5.0,2.5,25.0
25387,25.0,5,3,5.0,1.6666666666666667,25.0
18548,25.0,5,3,5.0,1.6666666666666667,25.0
10525,25.0,5,3,5.0,1.6666666666666667,25.0
34702,25.0,5,1,5.0,5.0,25.0
16956,25.0,5,2,5.0,2.5,25.0
16974,25.0,5,4,5.0,1.25,25.0
34380,25.0,5,2,5.0,2.5,25.0
11052,25.0,5,4,5.0,1.25,25.0
8292,25.0,5,3,5.0,1.6666666666666667,25.0
19730,25.0,5,3,5.0,1.6666666666666667,25.0
19974,25.0,5,3,5.0,1.6666666666666667,25.0
13623,25.0,5,4,5.0,1.25,25.0
2900,25.0,5,5,5.0,1.0,25.0
37278,25.0,5,1,5.0,5.0,25.0
20058,25.0,5,3,5.0,1.6666666666666667,25.0
19737,25.0,5,3,5.0,1.6666666666666667,25.0
3100,25.0,5,3,5.0,1.6666666666666667,25.0
18672,25.0,5,2,5.0,2.5,25.0
3219,25.0,5,4,5.0,1.25,25.0
33787,25.0,5,1,5.0,5.0,25.0
9960,25.0,5,2,5.0,2.5,25.0
3287,25.0,5,3,5.0,1.6666666666666667,25.0
4523,25.0,5,2,5.0,2.5,25.0
18787,25.0,5,2,5.0,2.5,25.0
3364,25.0,5,3,5.0,1.6666666666666667,25.0
16255,25.0,5,3,5.0,1.6666666666666667,25.0
3903,25.0,5,4,5.0,1.25,25.0
10166,25.0,5,4,5.0,1.25,25.0
4314,25.0,5,3,5.0,1.6666666666666667,25.0
9854,25.0,5,3,5.0,1.6666666666666667,25.0
4375,25.0,5,3,5.0,1.6666666666666667,25.0
10177,25.0,5,3,5.0,1.6666666666666667,25.0
26430,25.0,5,3,5.0,1.6666666666666667,25.0
10200,25.0,5,3,5.0,1.6666666666666667,25.0
5392,25.0,5,3,5.0,1.6666666666666667,25.0
25105,25.0,5,3,5.0,1.6666666666666667,25.0
7912,25.0,5,3,5.0,1.6666666666666667,25.0
17825,25.0,5,4,5.0,1.25,25.0
6672,25.0,5,4,5.0,1.25,25.0
11939,25.0,5,3,5.0,1.6666666666666667,25.0
10810,25.0,5,4,5.0,1.25,25.0
33244,25.0,5,2,5.0,2.5,25.0
6812,25.0,5,4,5.0,1.25,25.0
6887,25.0,5,1,5.0,5.0,25.0
21565,25.0,5,3,5.0,1.6666666666666667,25.0
6929,25.0,5,3,5.0,1.6666666666666667,25.0
17771,25.0,5,4,5.0,1.25,25.0
6938,25.0,5,3,5.0,1.6666666666666667,25.0
24154,25.0,5,4,5.0,1.25,25.0
17847,25.0,5,4,5.0,1.25,25.0
35379,25.0,5,1,5.0,5.0,25.0
18881,25.0,5,2,5.0,2.5,25.0
24061,25.0,5,1,5.0,5.0,25.0
23823,25.0,5,1,5.0,5.0,25.0
7210,25.0,5,4,5.0,1.25,25.0
35906,25.0,5,3,5.0,1.6666666666666667,25.0
18390,25.0,5,2,5.0,2.5,25.0
7407,25.0,5,2,5.0,2.5,25.0
8782,25.0,5,5,5.0,1.0,25.0
18225,25.0,5,3,5.0,1.6666666666666667,25.0
36329,25.0,5,2,5.0,2.5,25.0
18829,25.0,5,3,5.0,1.6666666666666667,25.0
19005,25.0,5,3,5.0,1.6666666666666667,25.0
35371,25.0,5,2,5.0,2.5,25.0
17104,25.0,5,2,5.0,2.5,25.0
24733,25.0,5,3,5.0,1.6666666666666667,25.0
9297,25.0,5,3,5.0,1.6666666666666667,25.0
5794,25.0,5,4,5.0,1.25,25.0
10606,25.0,5,4,5.0,1.25,25.0
11268,25.0,5,2,5.0,2.5,25.0
34939,25.0,5,2,5.0,2.5,25.0
10967,25.0,5,3,5.0,1.6666666666666667,25.0
10614,25.0,5,1,5.0,5.0,25.0
12274,25.0,5,1,5.0,5.0,25.0
